relative_path,condition,policy_hash,stage,task,split,rows,bytes,sha256,first_result_sha256,last_result_sha256
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-01/C-STANCE/test-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,1,C-STANCE,test,400,308824,4828d7112c97057b7cab493d728ab35c1aae9f32f83eef2daed5fc2bd0156e0b,da191f210ae5b40b1b63f379e761ae9f20a6dbad86614ba1c3805e9c47994a57,7246c34e95363d34e4b42c4ea3df12dccdd1d21257a6597a1b022305f831e206
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-01/C-STANCE/validation-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,1,C-STANCE,validation,400,303806,f6b7566c8b02e014fa274a4bf255c1821a2c0df15ed27f6a61d3201ea72f56fc,a457fea7767104cebd9cb9fbd2de2b58397140e88abc938fdc1d2ef3c73e8a12,7a7ff8456d68508a26fff8194feb2a8c4c012b5946c094ff3081bea2a0291857
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-02/C-STANCE/test-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,2,C-STANCE,test,600,437525,7bdc5a6b98c3fa96648a3d97abeca0fbd4f538c6e3453afd68d3bafe79e6ef59,a02daceb27de71288f9a495ab67fcaf45b3f42d26ceb5f0df2f09d7793902549,a4ab5d700e03877916e7875d3c6b3a1f168fcfde44977c0ebe9439b524e01769
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-02/C-STANCE/validation-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,2,C-STANCE,validation,600,429437,d765faf45f77e348b5fe9c718a59c0049f26c06f2cbf8c4cd04378fd30bd70cc,b92dd53487f9c0716bcf3b029eaeac195245298374be4e2733416d6d76556f34,a42949f0fafe1851dbd89d1cb6bcf44aa934b2c3a845cbe3ff9d162515566cd1
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-02/FOMC/test-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,2,FOMC,test,600,531668,6a8faa282fb6ecac3a08e1b1f1128d7ed4e14ca6f824e605102b780c5c16bb5f,1e7db30951df792a12712987c3e1775585627b4647c8f77457b68d00c182899b,2403e81b3115dc7fffcc55dacfbda8ee87524d6687510c719c2283b559e70daa
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-02/FOMC/validation-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,2,FOMC,validation,600,528400,69aab60c49465f5d9fa9591dd569902d79377bb99276fdc8ba368a2c9096e494,99dbe9eb8119d47dec6d28ed64a4c7e201ae08e05651f417d445c8f0c806b8a7,f81f140852ce1d1a006bd961045773a4b7d42943c41b0684b5c0cbfad00b2e35
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-03/C-STANCE/test-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,3,C-STANCE,test,500,496660,3d480b5fb244a4da44a214827109da1d388bf438aff5221a72f3f00ce5ab463b,f423942cfe54f421bb89adf8716b2c53aaaa55ea3fe2835b16a36551531502de,30b965e42f655967925bf7af770b2b40d2b97d776ef7b0a86aa882c131c93062
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-03/C-STANCE/validation-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,3,C-STANCE,validation,500,497400,3012f08ab8def304e59799d52c4750f902a29a88a903d12e4e8b8d6ee4f38b4b,3c973467601ca37d1213fd04ed96f026dd4b49615f9228bc2b4a121d8fe76e42,f092490eb86180321bd55960240332fe483915689ed154a04ea2928770ff8435
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-03/FOMC/test-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,3,FOMC,test,500,671684,c73b7c8864a8cf223283a590334495256cec16d6d9e26d43c2e77adac6fbcd5d,af75a859fc1868bc75b63b84c2e3d200a01d36c5b2a912435f61c19fd335ba0a,d5994faf26863a3aa7c6e28148c960efeee3eacfcbf8e04d00cffc500581f017
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7/stage-03/FOMC/validation-candidates.jsonl,vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,3,FOMC,validation,500,691552,338d0ee6a8878d780f68c16461a4a92d8b0ad96afc20156dc4419e617533a029,157ad35e10e3c857ca0da8a5e3c1c3dc4b8d9766e4d7bc87eb6298c2d4a82666,9649aceac8a85aeb4ca9021976e1479e590d7035ff3cd13e2fc5246d0e971100
