condition,policy_hash,split,router,stage,task_index,task,candidate_id,score
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,1,1,C-STANCE,43132f6a2dbb904542b9be65f7f3134e43f57b3b88035b83885dea7243114432,52.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,1,1,C-STANCE,43132f6a2dbb904542b9be65f7f3134e43f57b3b88035b83885dea7243114432,37.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,2,1,C-STANCE,dc4958ca640784e24adedf85bf25fbc4472926133226bba116da1a21e53f73eb,56.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,2,1,C-STANCE,dc4958ca640784e24adedf85bf25fbc4472926133226bba116da1a21e53f73eb,40.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,2,2,FOMC,31f32c9500cad0c67c045dd5ee862d32d65a71ae6f1f6b49cbbdc542e1a65f11,5.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,2,2,FOMC,31f32c9500cad0c67c045dd5ee862d32d65a71ae6f1f6b49cbbdc542e1a65f11,4.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,3,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,49.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,3,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,38.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,3,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,22.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,3,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,29.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,3,3,MeetingBank,c68ad33b3997eab723aab56e71bc046d278b975179df40ce2414b056a355dbd3,32.057807482876775
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,3,3,MeetingBank,c68ad33b3997eab723aab56e71bc046d278b975179df40ce2414b056a355dbd3,30.803611399427073
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,4,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,49.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,4,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,38.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,4,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,23.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,4,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,26.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,4,3,MeetingBank,41b93a772df39c1f62c5102bd843077e53a00f6455f9e6a8e076d8e41cf9dbf0,32.04477038320664
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,4,3,MeetingBank,41b93a772df39c1f62c5102bd843077e53a00f6455f9e6a8e076d8e41cf9dbf0,28.41522484392642
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,4,4,Py150,47a1b0022fc1f6941637d400a3dfc547e7aca79629a175bd136aae7439b89537,53.7
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,4,4,Py150,47a1b0022fc1f6941637d400a3dfc547e7aca79629a175bd136aae7439b89537,53.58
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,5,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,49.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,5,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,38.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,5,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,21.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,5,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,26.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,5,3,MeetingBank,17903bc836d8ba50b43430c97fedaa2cc578e7cc2f448a227d5cfc5bb0581fcd,29.345207686663375
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,5,3,MeetingBank,17903bc836d8ba50b43430c97fedaa2cc578e7cc2f448a227d5cfc5bb0581fcd,26.46747347774444
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,5,4,Py150,0120004419d6d9182c9bf7dc7d01fcc89c2fab04eb0e2f667a4a1c256ada759f,52.31
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,5,4,Py150,0120004419d6d9182c9bf7dc7d01fcc89c2fab04eb0e2f667a4a1c256ada759f,53.6
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,5,5,ScienceQA,77274d05894a0c90f13f165e9ee95a1960266c36a5cd296b19fecefdeba8c249,71.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,5,5,ScienceQA,77274d05894a0c90f13f165e9ee95a1960266c36a5cd296b19fecefdeba8c249,77.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,6,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,49.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,6,1,C-STANCE,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,39.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,6,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,22.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_known_provenance,6,2,FOMC,f1e03f4b15e3ddefa5c719f442675bd70eb496603cccd94be5415b26d708f88a,25.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_known_provenance,6,3,MeetingBank,17903bc836d8ba50b43430c97fedaa2cc578e7cc2f448a227d5cfc5bb0581fcd,29.689649224932918
