condition,policy_hash,split,router,stage,task_index,task,score
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,answer_oracle,1,1,C-STANCE,62.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,frozen_prompt_centroid,1,1,C-STANCE,51.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,prompt_nll,1,1,C-STANCE,0.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_aware,1,1,C-STANCE,53.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,answer_oracle,1,1,C-STANCE,44.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,frozen_prompt_centroid,1,1,C-STANCE,36.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,prompt_nll,1,1,C-STANCE,1.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_aware,1,1,C-STANCE,40.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,answer_oracle,2,1,C-STANCE,69.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,frozen_prompt_centroid,2,1,C-STANCE,56.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,prompt_nll,2,1,C-STANCE,5.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_aware,2,1,C-STANCE,56.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,answer_oracle,2,1,C-STANCE,51.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,frozen_prompt_centroid,2,1,C-STANCE,40.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,prompt_nll,2,1,C-STANCE,3.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_aware,2,1,C-STANCE,40.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,answer_oracle,3,1,C-STANCE,50.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,frozen_prompt_centroid,3,1,C-STANCE,49.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,prompt_nll,3,1,C-STANCE,6.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_aware,3,1,C-STANCE,49.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,answer_oracle,3,1,C-STANCE,39.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,frozen_prompt_centroid,3,1,C-STANCE,38.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,prompt_nll,3,1,C-STANCE,3.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_aware,3,1,C-STANCE,38.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,answer_oracle,4,1,C-STANCE,50.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,frozen_prompt_centroid,4,1,C-STANCE,49.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,prompt_nll,4,1,C-STANCE,4.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_aware,4,1,C-STANCE,49.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,answer_oracle,4,1,C-STANCE,39.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,frozen_prompt_centroid,4,1,C-STANCE,38.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,prompt_nll,4,1,C-STANCE,2.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,task_aware,4,1,C-STANCE,38.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,answer_oracle,4,2,FOMC,41.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,frozen_prompt_centroid,4,2,FOMC,25.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,prompt_nll,4,2,FOMC,0.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,test,task_aware,4,2,FOMC,25.0
vamp_svd_r8_repair000,1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,validation,answer_oracle,4,2,FOMC,46.0
